State,Year,Total Number of Establishments,Total Population,Average Wage
New Jersey,2014,7932.0,3251.0,51490.51122731467
New Jersey,2015,1296.0,2884.0,58083.735090152564
New Jersey,2016,1322.0,2997.0,55141.68702035369
New Mexico,2014,960.0,548.0,27329.839416058396
New Mexico,2015,164.0,510.0,31126.352941176472
New Mexico,2016,168.0,469.0,34165.08315565032
New York,2014,18444.0,7788.0,48087.55893682589
New York,2015,3072.0,8140.0,47777.98194103194
New York,2016,3038.0,8097.0,47609.66790169199
North Carolina,2014,7980.0,4993.0,34747.69697576607
North Carolina,2015,1348.0,4842.0,33745.44816191656
North Carolina,2016,1378.0,4327.0,34644.23596024959
North Dakota,2014,948.0,303.0,26407.392739273928
North Dakota,2015,150.0,309.0,32257.566343042072
North Dakota,2016,146.0,418.0,37542.688995215314
Ohio,2014,13800.0,6555.0,36105.14462242563
Ohio,2015,2270.0,6968.0,37521.6340413318
Ohio,2016,2254.0,6952.0,37140.19375719217
Oklahoma,2014,3744.0,2163.0,33935.04299583911
Oklahoma,2015,598.0,1985.0,39746.90377833753
Oklahoma,2016,596.0,1839.0,39120.47634584013
Oregon,2014,2244.0,1022.0,30062.962818003914
Oregon,2015,358.0,987.0,32096.393110435663
Oregon,2016,362.0,959.0,34116.16684045881
Pennsylvania,2014,18576.0,6777.0,37857.32861148001
Pennsylvania,2015,3108.0,6742.0,37330.66122812222
Pennsylvania,2016,3048.0,7144.0,40275.924132138854
Rhode Island,2014,1272.0,602.0,49384.87707641196
Rhode Island,2015,208.0,608.0,44316.29276315789
Rhode Island,2016,206.0,529.0,44762.465028355386
South Carolina,2014,4044.0,2918.0,32142.87697052776
South Carolina,2015,668.0,2971.0,32462.669471558398
South Carolina,2016,670.0,2656.0,28209.455572289156
South Dakota,2014,1152.0,419.0,54926.03341288783
South Dakota,2015,186.0,321.0,43396.96261682243
South Dakota,2016,194.0,297.0,44142.589225589225
Tennessee,2014,5976.0,2638.0,37907.33586050038
Tennessee,2015,1004.0,2751.0,38376.85932388222
Tennessee,2016,1030.0,2968.0,38137.99629380054
Texas,2014,15324.0,11789.0,35012.42531173128
Texas,2015,2574.0,11687.0,34852.118422178486
Texas,2016,2564.0,12248.0,37690.83719790986
Utah,2014,1152.0,929.0,35120.85360602799
Utah,2015,190.0,916.0,29755.886462882096
Utah,2016,202.0,1100.0,29487.612727272728
Vermont,2014,972.0,141.0,32613.163120567377
Vermont,2015,154.0,128.0,32415.8046875
Vermont,2016,156.0,129.0,21638.58914728682
Virginia,2014,6312.0,3894.0,42391.68207498716
Virginia,2015,1028.0,4156.0,41773.77526467758
Virginia,2016,1042.0,4110.0,41483.86545012165
Washington,2014,3288.0,1749.0,44674.66437964551
Washington,2015,564.0,1803.0,43895.37825845813
Washington,2016,572.0,1798.0,39692.79254727475
West Virginia,2014,3840.0,1052.0,30012.66254752852
West Virginia,2015,636.0,1259.0,30812.899920571883
West Virginia,2016,632.0,1448.0,31323.263812154695
Wisconsin,2014,6696.0,2159.0,40496.876794812415
Wisconsin,2015,1112.0,2449.0,37048.85871784402
Wisconsin,2016,1100.0,2481.0,36000.48327287384
Wyoming,2014,372.0,171.0,25212.883040935674
Wyoming,2015,60.0,373.0,18369.088471849867
Wyoming,2016,60.0,380.0,16018.702631578948
